,title,authors,where_published,year,doi
98,Aesthetics and predictive processing: grounds and prospects of a fruitful encounter,"Frascaroli J, Leder H, Brattico E, Van de Cruys S.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0410
99,A model of time-varying music engagement,"Omigie D, Mencke I.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0421
100,Looking for immediate and downstream evidence of lexical prediction in eye movements during reading,"Wong R, Veldre A, Andrews S.",Q J Exp Psychol (Hove),2024,10.1177/17470218231223858
101,Traveling waves shape neural population dynamics enabling predictions and internal model updating,"Mohanta S, Cleveland DM, Afrasiabi M, Rhone AE, Górska U, Cooper Borkenhagen M, Sanders RD, Boly M, Nourski KV, Saalmann YB.",bioRxiv,2024,10.1101/2024.01.09.574848
102,Predictive neural computations in the cerebellum contribute to motor planning and faster behavioral responses in larval zebrafish,"Narayanan S, Varma A, Thirumalai V.",Sci Adv,2024,10.1126/sciadv.adi6470
103,Predictive processing of scenes and objects,"Peelen MV, Berlot E, de Lange FP.",Nat Rev Psychol,2024,10.1038/s44159-023-00254-0
104,Does disconfirmatory evidence shape safety-and danger-related beliefs of trauma-exposed individuals?,"Haim-Nachum S, Kube T, Rozenkrantz L, Lazarov A, Levy-Gigi E, Michael T, Neria Y, Sopp MR.",Eur J Psychotraumatol,2024,10.1080/20008066.2024.2335788
105,"Scientists Invent New Hypotheses, Do Brains?","Fresco N, Elber-Dorozko L.",Cogn Sci,2024,10.1111/cogs.13400
106,Explanatory power by vagueness. Challenges to the strong prior hypothesis on hallucinations exemplified by the Charles-Bonnet-Syndrome,"Schmid FR, Kriegleder MF.",Conscious Cogn,2024,10.1016/j.concog.2023.103620
107,Neural mechanisms of visual motion extrapolation,"Turner W, Sexton C, Hogendoorn H.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105484
108,Interoceptive technologies for psychiatric interventions: From diagnosis to clinical applications,"Schoeller F, Horowitz AH, Jain A, Maes P, Reggente N, Christov-Moore L, Pezzulo G, Barca L, Allen M, Salomon R, Miller M, Di Lernia D, Riva G, Tsakiris M, Chalah MA, Klein A, Zhang B, Garcia T, Pollack U, Trousselard M, Verdonk C, Dumas G, Adrien V, Friston K.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105478
109,Elucidating multifinal and equifinal pathways to developmental disorders by constructing real-world neurorobotic models,"Idei H, Yamashita Y.",Neural Netw,2024,10.1016/j.neunet.2023.10.005
110,Discourse coherence modulates use of predictive processing during sentence comprehension,"Carter GA, Hoffman P.",Cognition,2024,10.1016/j.cognition.2023.105637
111,Individual prediction tendencies do not generalize across modalities,"Schubert J, Suess N, Weisz N.",Psychophysiology,2024,10.1111/psyp.14435
112,Does Active Inference Provide a Comprehensive Theory of Placebo Analgesia?,"Milde C, Brinskelle LS, Glombiewski JA.",Biol Psychiatry Cogn Neurosci Neuroimaging,2024,10.1016/j.bpsc.2023.08.007
113,Graded and ungraded expectation patterns: Prediction dynamics during active comprehension,"Lai MK, Payne BR, Federmeier KD.",Psychophysiology,2024,10.1111/psyp.14424
114,"Not a general, symptom-unspecific, transdiagnostic marker for functional symptoms: sensorimotor processing of head control is intact in chronic pain","Regnath F, Biersack K, Jäger N, Glasauer S, Lehnen N.",Front Neurol,2023,10.3389/fneur.2023.1294702
115,Extraordinary Speech and Language Outcomes After Auditory Brainstem Implantation: Guidance From a Case Study,"Herbert CJ, Kronenberger WG, Wolfert K, Nelson RF, Yates CW, Pisoni DB.",Am J Audiol,2023,10.1044/2023_AJA-23-00099
116,Prediction error and memory across the lifespan,"Shing YL, Brod G, Greve A.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105462
117,Rhythmic visual stimulation as a window into early brain development: A systematic review,"Köster M, Brzozowska A, Bánki A, Tünte M, Ward EK, Hoehl S.",Dev Cogn Neurosci,2023,10.1016/j.dcn.2023.101315
118,Context-specific effects of violated expectations: ERP evidence,"Li J, Ou J, Xiang M.",Cognition,2023,10.1016/j.cognition.2023.105628
119,A multimodal cortical network of sensory expectation violation revealed by fMRI,"Grundei M, Schmidt TT, Blankenburg F.",Hum Brain Mapp,2023,10.1002/hbm.26482
120,Trial-by-trial fluctuations of pre-stimulus alpha power predict language ERPs,"Lago S, Pezzetta R, Gastaldon S, Peressotti F, Arcara G.",Psychophysiology,2023,10.1111/psyp.14388
121,Can the Predictive Processing Framework Explain the Persistence of Delusional Beliefs?,"Cook BRH, Griffin JD.",Schizophr Bull,2023,10.1093/schbul/sbad124
122,Resolving the Delusion Paradox,"Petrovic P, Sterzer P.",Schizophr Bull,2023,10.1093/schbul/sbad084
123,Adaptive oscillators support Bayesian prediction in temporal processing,"Doelling KB, Arnal LH, Assaneo MF.",PLoS Comput Biol,2023,10.1371/journal.pcbi.1011669
124,Special Issue: Experiencing Well-BeingPlayfulness and the meaningful life: an active inference perspective,"Kiverstein J, Miller M.",Neurosci Conscious,2023,10.1093/nc/niad024
125,Involuntary memories are not déjà vu,"Gülgöz S, Ergen I.",Behav Brain Sci,2023,10.1017/S0140525X2300002X
126,"[Integration of Interoception, Decision-Making, and Affect: Allostasis as Predictive Processing]",Ohira H.,Brain Nerve,2023,10.11477/mf.1416202505
127,Storm on predictive brain: A neurocomputational account of ketamine antidepressant effect,"Bottemanne H, Berkovitch L, Gauld C, Balcerac A, Schmidt L, Mouchabac S, Fossati P.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105410
128,Persistent Postural-Perceptual Dizziness: Review and Update on Key Mechanisms of the Most Common Functional Neuro-otologic Disorder,Staab JP.,Neurol Clin,2023,10.1016/j.ncl.2023.04.003
129,Deviants violating higher-order auditory regularities can become predictive and facilitate behaviour,"Coy N, Bendixen A, Grimm S, Roeber U, Schröger E.",Atten Percept Psychophys,2023,10.3758/s13414-023-02763-9
130,The modulating effect of musical expertise on lexical-semantic prediction in speech-in-noise comprehension: Evidence from an EEG study,"Zheng Y, Gao P, Li X.",Psychophysiology,2023,10.1111/psyp.14371
131,ABC-training as a new intervention for hazardous alcohol drinking: Two proof-of-principle randomized pilot studies,"Van Dessel P, Cummins J, Wiers RW.",Addiction,2023,10.1111/add.16271
132,An Introduction to Predictive Processing Models of Perception and Decision-Making,"Sprevak M, Smith R.",Top Cogn Sci,2023,10.1111/tops.12704
133,Stimulus-Specific Prediction Error Neurons in Mouse Auditory Cortex,"Audette NJ, Schneider DM.",J Neurosci,2023,10.1523/JNEUROSCI.0512-23.2023
